City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Gonaives,HT,2021-05-25 00:25:57,19.45,-72.6833,80.49,75,30,6.76
1,Mahebourg,MU,2021-05-25 00:25:58,-20.4081,57.7,71.89,83,40,3.44
2,Longyearbyen,SJ,2021-05-25 00:24:00,78.2186,15.6401,26.44,74,75,10.36
3,Tuktoyaktuk,CA,2021-05-25 00:25:58,69.4541,-133.0374,32.0,93,90,9.22
4,Yellowknife,CA,2021-05-25 00:25:05,62.456,-114.3525,42.57,42,20,4.0
5,Tiksi,RU,2021-05-25 00:25:58,71.6872,128.8694,37.06,81,72,6.44
6,Olafsvik,IS,2021-05-25 00:25:59,64.8945,-23.7142,43.92,80,90,11.9
7,Bluff,NZ,2021-05-25 00:25:59,-46.6,168.3333,42.21,70,4,4.32
8,Vaini,TO,2021-05-25 00:25:59,-21.2,-175.2,78.96,69,75,9.22
9,Chervone,UA,2021-05-25 00:25:59,49.9564,28.8645,51.42,85,58,5.03
10,Severo-Kurilsk,RU,2021-05-25 00:26:00,50.6789,156.125,42.04,70,100,13.91
11,Rio Claro,BR,2021-05-25 00:26:00,-22.4114,-47.5614,51.62,41,91,1.88
12,Kangaba,ML,2021-05-25 00:26:00,11.9333,-8.4167,85.39,51,68,1.66
13,Chuy,UY,2021-05-25 00:26:01,-33.6971,-53.4616,52.11,75,8,11.3
14,Catamarca,AR,2021-05-25 00:26:01,-28.4696,-65.7852,57.58,49,3,8.03
15,Digoin,FR,2021-05-25 00:26:01,46.4812,3.9795,50.13,66,75,8.05
16,Arlit,NE,2021-05-25 00:26:02,18.7369,7.3853,90.43,8,0,10.63
17,Butaritari,KI,2021-05-25 00:26:02,3.0707,172.7902,75.69,91,100,10.85
18,Airai,TL,2021-05-25 00:26:02,-8.9266,125.4092,66.34,74,16,3.22
19,Rikitea,PF,2021-05-25 00:26:03,-23.1203,-134.9692,76.32,81,97,17.56
20,Norheimsund,NO,2021-05-25 00:26:03,60.3709,6.1456,52.66,90,100,6.85
21,Araguacu,BR,2021-05-25 00:26:03,-12.9306,-49.8264,81.88,48,89,4.12
22,Klaksvik,FO,2021-05-25 00:26:04,62.2266,-6.589,43.72,92,74,14.74
23,Broome,US,2021-05-25 00:26:04,42.2506,-75.833,65.37,57,90,1.99
24,Port Macquarie,AU,2021-05-25 00:26:04,-31.4333,152.9167,66.38,67,62,3.87
25,Ushuaia,AR,2021-05-25 00:26:04,-54.8,-68.3,28.06,93,90,26.46
26,Mataura,NZ,2021-05-25 00:26:05,-46.1927,168.8643,44.13,63,3,2.62
27,Hasaki,JP,2021-05-25 00:26:05,35.7333,140.8333,77.18,68,28,3.98
28,Margate,GB,2021-05-25 00:26:05,51.3813,1.3862,49.03,75,70,5.99
29,Vila Franca Do Campo,PT,2021-05-25 00:26:06,37.7167,-25.4333,63.01,79,100,6.76
30,Byron Bay,AU,2021-05-25 00:26:06,-28.65,153.6167,71.06,65,86,4.99
31,Maues,BR,2021-05-25 00:26:06,-3.3836,-57.7186,79.11,77,59,2.64
32,Saskylakh,RU,2021-05-25 00:26:07,71.9167,114.0833,42.26,86,5,5.77
33,Cape Town,ZA,2021-05-25 00:22:41,-33.9258,18.4232,61.09,88,75,7.07
34,Kumluca,TR,2021-05-25 00:26:07,36.3703,30.2869,76.6,34,1,6.93
35,Trapani,IT,2021-05-25 00:26:07,37.8333,12.6667,66.92,91,20,7.85
36,Victoria,HK,2021-05-25 00:26:08,22.2855,114.1577,89.96,78,56,1.01
37,Hilo,US,2021-05-25 00:21:35,19.7297,-155.09,82.8,73,1,17.27
38,Ancud,CL,2021-05-25 00:26:08,-41.8697,-73.8203,48.22,72,89,8.23
39,Lata,PT,2021-05-25 00:26:08,40.1629,-8.3327,57.81,95,3,3.36
40,Okha,RU,2021-05-25 00:26:09,53.5739,142.9478,37.49,86,100,15.7
41,Port Elizabeth,ZA,2021-05-25 00:26:09,-33.918,25.5701,61.11,88,0,2.3
42,Sola,VU,2021-05-25 00:26:09,-13.8833,167.55,77.67,89,90,5.75
43,Hithadhoo,MV,2021-05-25 00:26:10,-0.6,73.0833,83.35,74,91,15.99
44,Muros,ES,2021-05-25 00:26:10,42.7762,-9.0603,53.98,84,14,8.03
45,Ranong,TH,2021-05-25 00:26:10,9.9658,98.6348,80.53,86,100,11.9
46,Carnarvon,AU,2021-05-25 00:26:11,-24.8667,113.6333,55.47,82,0,11.5
47,Port Hardy,CA,2021-05-25 00:26:11,50.6996,-127.4199,53.78,87,90,4.61
48,Rio Gallegos,AR,2021-05-25 00:26:11,-51.6226,-69.2181,32.05,80,0,18.41
49,Tasiilaq,GL,2021-05-25 00:26:12,65.6145,-37.6368,33.96,93,100,34.07
50,Thompson,CA,2021-05-25 00:26:12,55.7435,-97.8558,51.96,93,90,6.91
51,Punta Arenas,CL,2021-05-25 00:22:22,-53.15,-70.9167,32.11,65,40,23.76
52,Saint George,US,2021-05-25 00:22:13,37.1041,-113.5841,84.67,13,1,5.01
53,Shambu,ET,2021-05-25 00:26:12,9.5667,37.1,56.55,64,90,1.39
54,Rokupr,SL,2021-05-25 00:26:13,8.6717,-12.395,76.26,90,59,6.02
55,Shelburne,CA,2021-05-25 00:26:13,44.0787,-80.2041,66.96,80,37,6.17
56,Albany,US,2021-05-25 00:26:13,42.6001,-73.9662,66.15,53,18,6.26
57,Sur,OM,2021-05-25 00:26:14,22.5667,59.5289,89.24,47,0,12.46
